Starting gRPC server
cd ../grpc-server/build && ./grpcServer
Order, good,-0.29 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:21:25 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:21:26 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:21:29 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:21:30 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:21:33 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:21:34 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:21:37 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:21:38 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:21:39 -03 2024
Order, good,-0.25 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:21:42 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:21:45 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:21:45 -03 2024
Order, good,-0.25 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:21:49 -03 2024
Order, good,-0.25 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:21:50 -03 2024
Order, good,-0.25 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:21:53 -03 2024
Order, good,-0.25 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:21:54 -03 2024
Order, good,-0.25 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:21:57 -03 2024
Order, good,-0.25 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:21:58 -03 2024
Order, good,-0.25 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:01 -03 2024
Order, good,-0.25 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:02 -03 2024
Order, good,-0.25 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:05 -03 2024
Order, good,-0.25 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:06 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:09 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:10 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:13 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:14 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:17 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:17 -03 2024
Order, good,-0.25 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:21 -03 2024
Order, good,-0.25 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:22 -03 2024
Order, good,-0.27 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[BINA], 705.300000, 704.594700, 0.000000, time,Sat Apr 27 01:22:25 -03 2024
Order, good,-0.30 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[BINA], 705.100000, 704.394900, 0.000000, time,Sat Apr 27 01:22:26 -03 2024
Order, good,-0.30 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[BINA], 705.100000, 704.394900, 0.000000, time,Sat Apr 27 01:22:29 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:30 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:33 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:34 -03 2024
Order, good,-0.21 ,ASK[BINA], 705.600000, 706.305600, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:37 -03 2024
Order, good,-0.21 ,ASK[BINA], 705.600000, 706.305600, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:38 -03 2024
Order, good,-0.21 ,ASK[BINA], 705.600000, 706.305600, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:41 -03 2024
Order, good,-0.21 ,ASK[BINA], 705.600000, 706.305600, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:42 -03 2024
Order, good,-0.21 ,ASK[BINA], 705.600000, 706.305600, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:45 -03 2024
Order, good,-0.21 ,ASK[BINA], 705.600000, 706.305600, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:46 -03 2024
Order, good,-0.21 ,ASK[BINA], 705.600000, 706.305600, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:47 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:50 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[BINA], 705.500000, 704.794500, 0.000000, time,Sat Apr 27 01:22:53 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:54 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:57 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:22:58 -03 2024
Order, good,-0.21 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[BINA], 705.600000, 704.894400, 0.000000, time,Sat Apr 27 01:22:59 -03 2024
Order, good,-0.24 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[BINA], 705.600000, 704.894400, 0.000000, time,Sat Apr 27 01:23:02 -03 2024
Order, good,-0.24 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[BINA], 705.600000, 704.894400, 0.000000, time,Sat Apr 27 01:23:05 -03 2024
Order, good,-0.25 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:23:06 -03 2024
Order, good,-0.24 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[BINA], 705.600000, 704.894400, 0.000000, time,Sat Apr 27 01:23:09 -03 2024
Order, good,-0.24 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[BINA], 705.600000, 704.894400, 0.000000, time,Sat Apr 27 01:23:10 -03 2024
Order, good,-0.21 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[BINA], 705.800000, 705.094200, 0.000000, time,Sat Apr 27 01:23:12 -03 2024
Order, good,-0.21 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[BINA], 705.800000, 705.094200, 0.000000, time,Sat Apr 27 01:23:14 -03 2024
Order, good,-0.21 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[BINA], 705.800000, 705.094200, 0.000000, time,Sat Apr 27 01:23:17 -03 2024
Order, good,-0.21 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[BINA], 705.800000, 705.094200, 0.000000, time,Sat Apr 27 01:23:18 -03 2024
